Sensor,Date,DOY,Overpass (UTC-5),Path/Row,Product ID (short),Cloud % (ROI)
Landsat 8,2021-11-26,330,09:42:24,002/073,LC08_L2SP_002073_20211126_20…,0.0
Landsat 9,2021-12-04,338,09:42:27,002/073,LC09_L2SP_002073_20211204_20…,0.0
Landsat 8,2022-03-02,61,09:42:03,002/073,LC08_L2SP_002073_20220302_20…,0.0
Landsat 8,2022-03-18,77,09:41:56,002/073,LC08_L2SP_002073_20220318_20…,0.0
Landsat 8,2022-04-03,93,09:41:47,002/073,LC08_L2SP_002073_20220403_20…,0.0
Landsat 8,2022-04-19,109,09:41:52,002/073,LC08_L2SP_002073_20220419_20…,0.0
Landsat 9,2022-04-27,117,09:41:47,002/073,LC09_L2SP_002073_20220427_20…,0.0
Landsat 8,2022-05-05,125,09:41:53,002/073,LC08_L2SP_002073_20220505_20…,0.0
Landsat 8,2023-10-15,288,09:42:12,002/073,LC08_L2SP_002073_20231015_20…,0.0
Landsat 9,2024-01-11,11,09:42:19,002/073,LC09_L2SP_002073_20240111_20…,0.0
Landsat 9,2024-01-27,27,09:42:17,002/073,LC09_L2SP_002073_20240127_20…,0.0
Landsat 8,2024-02-04,35,09:42:08,002/073,LC08_L2SP_002073_20240204_20…,0.0
Landsat 8,2024-02-20,51,09:42:06,002/073,LC08_L2SP_002073_20240220_20…,0.0
Landsat 9,2024-03-15,75,09:42:12,002/073,LC09_L2SP_002073_20240315_20…,0.0
Landsat 9,2024-04-16,107,09:41:54,002/073,LC09_L2SP_002073_20240416_20…,0.0
Landsat 8,2024-04-24,115,09:41:29,002/073,LC08_L2SP_002073_20240424_20…,0.0
